DATE,IPB50001N
1980-09-01,50.0894
1980-10-01,50.639
1980-11-01,50.8897
1980-12-01,50.807
1981-01-01,50.4388
1981-02-01,51.0001
1981-03-01,51.6335
1981-04-01,50.5574
1981-05-01,50.8814
1981-06-01,52.0907
1981-07-01,50.4707
1981-08-01,51.5915
1981-09-01,51.6042
1981-10-01,51.3816
1981-11-01,50.2842
1981-12-01,49.5439
1982-01-01,48.6553
1982-02-01,50.1737
1982-03-01,49.9519
1982-04-01,48.7266
1982-05-01,48.3392
1982-06-01,49.1696
1982-07-01,47.3247
1982-08-01,48.0133
1982-09-01,48.2141
1982-10-01,47.7591
1982-11-01,47.0292
1982-12-01,46.4285
1983-01-01,47.6915
1983-02-01,47.8486
1983-03-01,48.3965
1983-04-01,48.2916
1983-05-01,48.4327
1983-06-01,49.7871
1983-07-01,48.7288
1983-08-01,50.3617
1983-09-01,51.6224
1983-10-01,51.8849
1983-11-01,51.3463
1983-12-01,51.2971
1984-01-01,52.9777
1984-02-01,53.7266
1984-03-01,54.1742
1984-04-01,53.7581
1984-05-01,53.7324
1984-06-01,55.0585
1984-07-01,53.2031
1984-08-01,54.5072
1984-09-01,55.0077
1984-10-01,54.6408
1984-11-01,54.1187
1984-12-01,53.8806
1985-01-01,54.4427
1985-02-01,55.2332
1985-03-01,55.3461
1985-04-01,54.3559
1985-05-01,54.3279
1985-06-01,55.5511
1985-07-01,53.1891
1985-08-01,54.703
1985-09-01,55.4795
1985-10-01,54.9361
1985-11-01,54.3791
1985-12-01,54.7888
1986-01-01,55.6976
1986-02-01,55.8341
1986-03-01,55.1432
1986-04-01,54.9237
1986-05-01,54.5608
1986-06-01,55.7067
1986-07-01,53.7997
1986-08-01,55.3235
1986-09-01,55.9269
1986-10-01,55.7632
1986-11-01,55.2589
1986-12-01,55.4505
1987-01-01,55.9301
1987-02-01,57.257
1987-03-01,57.3308
1987-04-01,56.6202
1987-05-01,57.1222
1987-06-01,58.863
1987-07-01,56.9236
1987-08-01,59.136
1987-09-01,59.4713
1987-10-01,60.1831
1987-11-01,59.6535
1987-12-01,59.479
1988-01-01,60.1842
1988-02-01,60.9109
1988-03-01,61.0161
1988-04-01,60.5434
1988-05-01,60.5128
1988-06-01,62.2873
1988-07-01,59.9007
1988-08-01,61.9306
1988-09-01,62.2083
1988-10-01,62.1897
1988-11-01,61.3382
1988-12-01,61.0634
1989-01-01,61.8451
1989-02-01,62.0998
1989-03-01,61.8478
1989-04-01,61.95
1989-05-01,61.0983
1989-06-01,62.7535
1989-07-01,59.7164
1989-08-01,62.2821
1989-09-01,62.4001
1989-10-01,62.061
1989-11-01,61.3274
1989-12-01,61.3523
1990-01-01,61.3525
1990-02-01,62.2777
1990-03-01,62.6285
1990-04-01,61.356
1990-05-01,61.9896
1990-06-01,63.8655
1990-07-01,61.4609
1990-08-01,63.5751
1990-09-01,64.053
1990-10-01,63.1737
1990-11-01,61.4827
1990-12-01,60.642
1991-01-01,60.9353
1991-02-01,60.7185
1991-03-01,60.0547
1991-04-01,60.0613
1991-05-01,60.4687
1991-06-01,62.7343
1991-07-01,60.4555
1991-08-01,62.6259
1991-09-01,63.3051
1991-10-01,62.8558
1991-11-01,61.7097
1991-12-01,60.911
1992-01-01,61.144
1992-02-01,62.0204
1992-03-01,62.7072
1992-04-01,62.072
1992-05-01,62.5781
1992-06-01,64.2529
1992-07-01,62.2508
1992-08-01,64.211
1992-09-01,64.394
1992-10-01,64.7377
1992-11-01,64.1861
1992-12-01,63.8356
1993-01-01,64.1955
1993-02-01,65.1198
1993-03-01,65.1659
1993-04-01,64.1958
1993-05-01,64.2251
1993-06-01,66.0451
1993-07-01,63.7785
1993-08-01,65.9619
1993-09-01,66.2828
1993-10-01,66.5179
1993-11-01,66.0087
1993-12-01,65.8127
1994-01-01,66.3993
1994-02-01,67.0075
1994-03-01,67.8106
1994-04-01,67.0605
1994-05-01,67.5007
1994-06-01,69.8198
1994-07-01,67.0001
1994-08-01,70.0187
1994-09-01,70.5663
1994-10-01,70.6881
1994-11-01,70.281
1994-12-01,70.4085
1995-01-01,70.619
1995-02-01,71.3951
1995-03-01,71.8319
1995-04-01,69.9426
1995-05-01,70.5643
1995-06-01,73.0292
1995-07-01,69.8395
1995-08-01,73.3771
1995-09-01,74.0233
1995-10-01,73.1697
1995-11-01,72.5684
1995-12-01,72.4197
1996-01-01,71.8969
1996-02-01,73.6981
1996-03-01,74.0255
1996-04-01,73.1075
1996-05-01,73.701
1996-06-01,76.6897
1996-07-01,73.3946
1996-08-01,76.8392
1996-09-01,77.8769
1996-10-01,77.0368
1996-11-01,76.9167
1996-12-01,76.8087
1997-01-01,76.8891
1997-02-01,78.5315
1997-03-01,79.3256
1997-04-01,78.4155
1997-05-01,78.4709
1997-06-01,80.8929
1997-07-01,77.689
1997-08-01,82.0122
1997-09-01,83.4393
1997-10-01,83.5733
1997-11-01,83.8754
1997-12-01,83.714
1998-01-01,83.3485
1998-02-01,84.4836
1998-03-01,85.2561
1998-04-01,83.176
1998-05-01,84.3924
1998-06-01,85.6956
1998-07-01,82.5197
1998-08-01,87.1137
1998-09-01,86.8403
1998-10-01,87.5971
1998-11-01,86.7015
1998-12-01,86.5746
1999-01-01,86.6045
1999-02-01,87.629
1999-03-01,88.9207
1999-04-01,87.0252
1999-05-01,87.8536
1999-06-01,90.1477
1999-07-01,86.4895
1999-08-01,90.7056
1999-09-01,90.2543
1999-10-01,91.347
1999-11-01,90.7106
1999-12-01,90.761
2000-01-01,90.5144
2000-02-01,91.2965
2000-03-01,92.8845
2000-04-01,91.6096
2000-05-01,91.9058
2000-06-01,94.8359
2000-07-01,90.4093
2000-08-01,93.8641
2000-09-01,94.3584
2000-10-01,93.6319
2000-11-01,92.5341
2000-12-01,92.0319
2001-01-01,90.9287
2001-02-01,91.0055
2001-03-01,91.9293
2001-04-01,88.8554
2001-05-01,89.5789
2001-06-01,91.707
2001-07-01,87.4351
2001-08-01,90.8855
2001-09-01,90.0943
2001-10-01,89.1341
2001-11-01,87.572
2001-12-01,87.0988
2002-01-01,87.5231
2002-02-01,88.1511
2002-03-01,89.5552
2002-04-01,88.7096
2002-05-01,89.1508
2002-06-01,92.7692
2002-07-01,88.3091
2002-08-01,92.3788
2002-09-01,92.271
