date,overall,mining,mfg,electric,mfg_food,mfg_textiles,mfg_wood,mfg_petroleum,mfg_metal,mfg_electric,mfg_transport,overall_sa,mining_sa,mfg_sa,electric_sa
1/11/2015,99.54361826,98.74607432,100.0262791,97.59377863,101.6831399,110.1780286,106.205046,96.8404602,99.19595387,101.4381747,98.59554014,99.82712817,95.18669677,102.2877037,102.7026822
1/12/2015,103.5868704,105.2899599,103.0547995,102.6051302,98.22529194,105.9622462,107.4610458,102.9298019,102.7497115,105.4673106,99.4278325,99.59212817,100.122649,99.67141889,102.782467
1/1/2016,104.2950894,106.9270586,103.2046818,105.545,93.73633418,99.71313435,102.8116649,103.0573721,104.9524322,106.3290419,106.1949614,102.1,100.7,102,106.9
1/2/2016,94.62153162,98.4480494,92.8807713,98.043,85.56421645,99.01504591,97.34107824,98.75931152,93.08002782,86.67792901,97.01244833,102.7,103.1,101.8,107.6
1/3/2016,104.3339323,104.0267827,103.6941035,112.104,100.9691969,106.665349,101.6119039,106.6232989,104.2152458,102.1811592,102.2217892,102.8,99.6,103.3,108.3
1/4/2016,99.75346384,97.69148602,99.45169617,110.704,94.96437101,106.287677,101.4069164,99.14937812,103.1432641,101.1281022,93.04502207,103.1,102.4,102.6,109
1/5/2016,103.5792287,102.4283121,103.1399876,112.486,98.28671813,114.4270957,101.8991914,106.0492677,104.5914933,105.2576945,89.58267771,103.4,102,103.3,108.5
1/6/2016,106.3242606,103.7224019,107.1487579,107.704,98.32802032,105.0645623,107.7650404,106.4108788,107.8086008,113.8721837,100.6764781,105.6,104.6,105.7,108.8
1/7/2016,104.2264527,103.31036,104.2679279,107.28,103.0330202,100.4012191,103.9648585,104.2975319,105.4814335,108.8126329,91.07473983,103.6,104,103.5,105.7
1/8/2016,103.1230332,94.82174424,105.1577647,113.674,109.9745111,101.1947234,104.6409663,100.6663427,103.1287149,111.4224379,98.89322421,103.5,100.6,104.6,109.5
1/9/2016,104.6279503,96.48338354,107.3797947,107.183,106.796156,108.3760438,108.0852788,103.7560363,105.0205279,115.8190017,97.62606722,105,101.8,105.4,109.8
1/10/2016,109.1669514,104.3472953,110.7675747,110.966,112.7239509,111.1373951,109.033137,111.1760653,106.5101099,116.2127949,97.44855673,105.2,102.1,106.3,108.6
1/11/2016,106.4001289,104.5328508,107.0225967,107.073,113.5514919,117.4242749,113.337297,102.8510608,105.5466082,110.4558145,96.51501727,105.6,102.9,106.3,109.1
1/12/2016,108.9412175,111.8247535,107.8830849,108.902,107.5831768,111.5952288,114.6359018,106.8822607,105.1254002,111.9693389,97.33385629,106.7,104.8,106.9,109.5
1/1/2017,108.2351486,108.5841237,108.2564567,106.689,101.22495,106.7520851,110.753395,105.469745,108.3808226,113.017602,111.6991808,105.678,102.325,106.889,108.302
1/2/2017,99.50932598,98.90693731,99.73372148,99.483,98.79006831,106.848098,108.2991593,102.6438209,97.05271144,94.71930319,102.3649862,107.995,103.414,109.476,109.675
1/3/2017,109.1087648,107.3094167,109.5040403,111.868,105.215213,114.0860789,111.0434798,110.5170266,108.3781443,109.978402,110.2399766,107.512,102.47,109.33,108.325
1/4/2017,103.8429096,96.86439255,105.9081427,109.052,109.512537,112.9767635,108.2831487,102.3220781,107.5817909,108.9654546,97.70050567,106.72,100.009,109.156,107.19
