date,lf_size,employed,unemployed,outside,u_rate,p_rate,ep_ratio,lf_size_sa,employed_sa,unemployed_sa,u_rate_sa,p_rate_sa,unemployed_15_24,u_rate_15_24,unemployed_15_30,u_rate_15_30,employed_employer,employed_employee,employed_ownaccount,employed_unpaidfamily,unemployed_active,unemployed_active_3mo,unemployed_active_6mo,unemployed_active_12mo,unemployed_active_long,unemployed_inactive
2016-03-01,14710.1,14200.7,509.5,6964.0,3.46,67.87,65.52,14688.0,14187.5,505.4,3.4,67.8,285.0,10.9,416.1,7.0,539.4,10381.2,2660.3,619.7,332.80000000000007,176.8,92.9,44.8,18.3,176.7
2016-04-01,14675.3,14163.7,511.5,7012.5,3.49,67.67,65.31,14677.5,14166.4,517.0,3.5,67.7,305.6,11.5,405.7,6.9,456.2,10280.6,2805.9,621.1,327.99999999999994,170.6,93.3,43.9,20.2,183.4
2016-05-01,14705.0,14200.2,504.8,7021.1,3.43,67.68,65.36,14727.8,14217.7,509.8,3.5,67.8,291.6,11.1,395.2,6.8,532.0,10407.9,2573.1,687.1,297.3,153.6,92.5,37.6,13.6,207.6
2016-06-01,14720.1,14218.4,501.8,7036.5,3.41,67.66,65.35,14703.3,14195.4,505.6,3.4,67.6,240.5,9.6,387.3,6.6,534.3,10535.6,2453.5,694.9,298.2,146.8,83.6,51.7,16.2,203.5
2016-07-01,14729.0,14212.8,516.2,7008.4,3.5,67.76,65.38,14735.0,14217.1,516.1,3.5,67.8,309.0,11.8,446.9,7.5,427.2,10536.4,2605.4,643.8,306.0,131.1,90.9,54.6,29.4,210.2
2016-08-01,14822.2,14306.9,515.2,7053.3,3.48,67.76,65.4,14806.5,14279.5,520.4,3.5,67.7,305.3,11.6,412.9,6.8,452.3,10719.5,2527.0,608.1,305.6,149.0,81.4,44.7,30.5,209.6
2016-09-01,14762.2,14249.6,512.6,7084.3,3.47,67.57,65.23,14749.0,14234.6,515.4,3.5,67.5,266.3,10.6,369.9,6.4,460.7,10814.3,2331.0,643.6,292.6,148.1,77.9,45.6,21.0,220.0
2016-10-01,14765.1,14253.4,511.7,7071.1,3.47,67.62,65.27,14775.6,14257.2,519.0,3.5,67.7,290.5,11.4,399.7,6.8,458.8,10719.6,2508.7,566.3,299.7,143.1,74.7,48.4,33.5,212.0
2016-11-01,14827.9,14317.2,510.7,7081.8,3.44,67.68,65.3,14836.2,14316.0,525.5,3.5,67.7,253.7,9.5,391.2,6.6,466.6,10929.5,2311.2,609.9,286.5,125.6,86.8,47.5,26.6,224.2
2016-12-01,14788.9,14276.7,512.2,7072.8,3.46,67.6,65.3,14786.4,14283.4,509.6,3.4,67.6,267.4,10.2,393.6,6.6,443.0,10865.9,2354.2,613.6,374.3999999999999,192.2,93.2,59.4,29.599999999999998,137.9
