Date,usd_myr,crude_oil,dow_jones,klci,exports_my,imports_my,ipi_my,cpi_my,m1_my,m2_my,opr_my,exports_us,imports_us,ipi_us,cpi_us,m1_us,m2_us,fedrate_us
2017-02-01,4.440529990196228,53.46210560045744,20424.14412006579,1699.3255479600693,71979.306222,63058.521239,99.487,119.6,387020.2214671,1668004.6820091,3.0,119234.1579,169238.1364,98.2214,243.603,3358.0,13305.6,0.66
2017-03-01,4.435021752896517,49.673913209334664,20823.057999320652,1733.332179857337,82890.858103,77240.296485,109.084,119.4,386806.45089101,1680740.38714001,3.0,135977.0293,194066.1358,99.3166,243.801,3477.3,13491.7,0.79
2017-04-01,4.402674961090088,51.11736899928043,20684.693667763157,1746.7936947471217,74243.425839,65210.734893,103.819,119.2,387031.52353498,1677515.4855219796,3.0,123925.2794,185868.2225,97.644,244.524,3489.1,13565.0,0.9
2017-05-01,4.314360908840014,48.53954575278542,20936.811257102272,1770.8205139160157,79215.99006299999,72973.42456300001,107.854,119.0,391248.25742655003,1689273.6325305495,3.0,127881.1343,200330.8892,98.8779,244.733,3517.1,13474.1,0.91
2017-06-01,4.275163607163862,45.19590950012207,21317.795365767044,1781.359464946546,72823.576835,62627.394536,109.514,118.7,397698.44123895,1683468.2741319502,3.0,132711.172,198174.3977,101.8699,244.955,3527.7,13522.1,1.04
2017-07-01,4.287228538876488,46.67500038146973,21581.2509765625,1760.8681001209077,78747.828253,70589.577401,110.29,118.7,392766.33218921005,1680219.8528392096,3.0,122201.6542,191754.4631,100.2094,244.786,3548.2,13584.4,1.15
2017-08-01,4.281021760857624,48.05782566899838,21914.076936141304,1772.7904552112925,82024.847847,72113.002987,110.216,119.8,393776.08682016004,1690890.9177501602,3.0,129236.5633,201557.2351,101.6566,245.519,3588.6,13653.7,1.16
2017-09-01,4.2111190387180875,49.876999855041504,22173.41396484375,1774.9394395616318,77861.45697300001,69650.394535,109.496,120.1,397981.82225312,1708198.0055221203,3.0,130342.868,194517.2564,100.2011,246.819,3542.2,13705.5,1.15
2017-10-01,4.22634092244235,51.594545884565875,23036.237393465908,1751.1871454148065,81862.196892,71851.134024,112.825,120.0,403112.55674788996,1719551.52772489,3.0,136312.4972,210605.8564,100.9163,246.663,3601.6,13750.7,1.15
2017-11-01,4.164768175645308,56.662857418968564,23557.92940848214,1729.9950117631392,83485.94661,73551.888413,111.842,120.8,404896.81372086995,1725763.8686948698,3.0,135681.5467,207578.6531,100.7419,246.669,3603.3,13819.9,1.16
2017-12-01,4.075628553118024,57.94699993133545,24545.3841796875,1743.3779907226562,79481.981178,72116.2579,112.03,120.9,422820.02193054,1730466.08878454,3.0,136163.479,200246.3897,101.6478,246.524,3652.7,13945.0,1.3
2018-01-01,3.955613022265227,63.65904780796596,25804.017764136905,1828.4090518043154,83252.374097,73201.318749,113.447,121.3,421396.02113617,1743097.44280117,3.25,125038.4596,203028.8838,101.6366,247.867,3651.9,13863.1,1.41
2018-02-01,3.909560000896454,62.18368429886667,24981.545230263157,1846.8960978190105,70552.33802699999,61416.781311,101.82,121.3,420009.53905779,1753500.6240057903,3.25,128218.7529,186770.2029,101.7058,248.991,3566.1,13849.1,1.42
2018-03-01,3.9003045450557363,62.771904899960475,24582.170386904763,1855.2540893554688,84855.731676,69896.68946200001,112.27,120.9,417232.82585131,1784810.51638831,3.25,149561.8319,207985.4857,102.4967,249.554,3688.4,14031.0,1.51
2018-04-01,3.8824237982432046,66.32523781912667,24304.212890625,1863.1485653831846,84636.362311,71373.505674,108.986,120.9,415977.75200801,1806747.89254701,3.25,138230.3922,205084.3781,101.8155,250.546,3698.1,14069.5,1.69
2018-05-01,3.9627782365550166,69.98318099975586,24572.5322265625,1822.102776421441,82862.036666,74039.605524,111.631,121.1,417389.05817131,1805772.3951853102,3.25,145527.656,216026.514,101.2595,251.588,3655.7,13980.4,1.7
2018-06-01,3.993538118544079,67.32285672142392,24790.108351934523,1730.2745056152344,78845.180411,72746.234032,111.803,119.6,416501.38725752,1808298.7047705199,3.25,145498.5465,211252.6624,104.6177,251.989,3656.6,14074.7,1.82
2018-07-01,4.045445442199707,70.58190518333798,24978.231305803572,1726.7222789417613,86474.633443,78349.145431,113.269,119.8,411224.85446949,1814049.8393684898,3.25,133808.2435,216854.2244,103.3969,252.006,3680.7,14109.6,1.91
2018-08-01,4.088708753171175,67.84521782916525,25629.98828125,1795.9839904785156,81982.17563099999,80536.081015,112.342,120.0,411016.41809189995,1822041.9879549,3.25,140217.8086,221896.9651,106.0877,252.146,3690.9,14164.9,1.91
2018-09-01,4.136410021781922,70.0847372757761,26232.66796875,1799.6664608226104,83341.938041,67770.939016,112.364,120.5,414530.23466849,1835249.5293784903,3.25,139388.9086,211317.4741,104.5406,252.439,3675.7,14199.5,1.95
2018-10-01,4.15511299216229,70.75782610022503,25609.34188179348,1735.3695652173913,97122.03023599999,80270.465604,117.756,120.7,415920.26524394006,1862633.78096794,3.25,147081.9404,235857.7122,103.4573,252.885,3722.2,14201.4,2.19
2018-11-01,4.180768164721402,56.693332853771395,25258.675316220237,1699.6989990234374,85542.53824699999,77046.310904,114.258,121.0,418500.7458843299,1872047.1384603297,3.25,139278.2056,213493.034,103.2191,252.038,3680.0,14255.1,2.2
2018-12-01,4.171547639937628,48.777369248239616,23805.545230263157,1672.3625,84119.529105,73156.93892,115.97,121.1,427720.52170877,1885094.1736267698,3.25,133936.1412,206577.737,103.6456,251.233,3800.7,14448.8,2.27
2019-01-01,4.1149522117946455,51.550476255871004,24157.795107886905,1682.8504754929315,86340.816726,73921.663552,117.74,120.5,428230.97069633997,1879010.9377553398,3.25,129868.7368,203980.7355,103.146,251.712,3748.5,14423.8,2.4
2019-02-01,4.075430059432984,54.980525970458984,25605.526829769737,1702.648250804228,67683.054771,55567.217045000005,104.275,120.8,422365.08559418994,1878680.97331319,3.25,130075.0813,185267.5323,102.7272,252.776,3705.1,14401.9,2.4
2019-03-01,4.0752285321553545,58.16809517996652,25722.621186755954,1672.5323776971727,85677.001848,69681.372619,116.006,121.1,427697.18064758007,1889751.0641605803,3.25,148549.3765,207511.0462,103.1139,254.202,3757.3,14572.5,2.41
2019-04-01,4.112304600802335,63.87095260620117,26401.57738095238,1633.476357199929,86227.85648,74376.80713,112.671,121.1,425324.28300852,1900579.9648255198,3.25,135077.3578,208742.1426,100.6069,255.548,3823.8,14623.0,2.42
2019-05-01,4.164086363532326,60.865454413674094,25744.788529829544,1617.554998779297,84678.578412,75108.549218,116.224,121.4,434537.35263408005,1907296.0088750797,3.0,142531.1969,220207.611,101.1774,256.092,3791.3,14575.0,2.39
2019-06-01,4.156560015678406,54.70650024414063,26160.10087890625,1659.7738850911458,76690.883882,65630.287982,115.317,121.4,431751.02557103004,1899144.34937603,3.0,138284.047,206531.5793,103.9516,256.143,3831.3,14734.8,2.38
2019-07-01,4.120152141736901,57.546363830566406,27089.18670099432,1667.018632368608,89764.90426000001,73796.315739,114.771,121.5,429595.3037675499,1899917.3733615498,3.0,133435.9943,218311.1465,102.0047,256.571,3863.5,14814.4,2.4
2019-08-01,4.182181791825728,54.844090548428625,26057.728071732956,1605.2666655040923,81513.26556700001,70460.901208,114.887,121.8,426560.71623265004,1895997.8502836502,3.0,138665.3526,215245.8162,104.9158,256.558,3850.7,14896.1,2.13
2019-09-01,4.1819904418218705,56.967000007629395,26900.21396484375,1596.0777859157986,78251.519636,69437.628887,114.27,121.8,434259.9852956599,1904683.40085666,3.0,134381.9107,206148.9343,102.9184,256.759,3878.0,14986.8,2.04
2019-10-01,4.184556525686513,54.00565255206564,26736.797724184784,1569.4963656338778,90860.958317,73288.784297,118.046,122.0,435746.97704486,1922422.5351928598,3.0,142478.6041,218901.1145,101.334,257.346,3924.9,15112.2,1.83
2019-11-01,4.155824947357178,57.070000076293944,27797.04609375,1597.0047607421875,80947.366191,74261.125522,116.976,122.1,438099.08156270004,1923912.4268496998,3.0,137137.0557,198974.5547,101.5299,257.208,3926.1,15259.4,1.55
